0 INTELSAT 1-F1
1 01317U 65028A   18008.50901171  .00000126  00000-0  00000+0 0  9992
2 01317   0.5293 358.4152 0003209 213.4558 284.8322  1.00304064 96285
0 INTELSAT 2-F1
1 02514U 66096A   18007.78963908 -.00000211  00000-0  00000+0 0  9999
2 02514  17.6540 280.1343 6402098 185.9523 159.3937  2.00609678251823
0 INTELSAT 2-F2
1  2639U 67001A   18007.63455685 -.00000065 +00000-0 +00000-0 0  9994
2  2639 004.2425 297.0726 0013609 304.3143 260.4665 01.00264579088334
0 INTELSAT 2-F3
1 02717U 67026A   18007.74004347 -.00000354  00000-0  00000+0 0  9995
2 02717   3.3619 303.7333 0024097 298.9207 257.6767  1.00335319 89330
0 INTELSAT 2-F4
1  2969U 67094A   18007.58534178 +.00000104 +00000-0 +00000-0 0  9994
2  2969 003.4059 296.2837 0013353 251.5610 322.8764 01.00242991084407
0 INTELSAT 3-F2
1 03623U 68116A   18008.25710781 -.00000219  00000-0  00000+0 0  9996
2 03623  11.5776 315.9098 0101183  15.9633  40.5547  0.90194306 98250
0 INTELSAT 3-F3
1 03674U 69011A   18008.51117285 -.00000220  00000-0  00000+0 0  9998
2 03674  16.8472 325.8588 0177004 298.5664 241.4405  0.84930895171340
0 INTELSAT 3-F4
1 03947U 69045A   18007.30598913 -.00000113  00000-0  00000+0 0  9996
2 03947  11.6201 312.4818 0029958   2.0409 176.7678  0.90044101131423
0 INTELSAT 3-F6
1 04297U 70003A   18007.16723446 -.00000251  00000-0  00000+0 0  9999
2 04297   6.5049 300.6805 0015535 357.2515 189.8717  0.99158768146541
0 INTELSAT 3-F7
1  4376U 70032A   18007.32117990 -.00000104 +00000-0 +00000-0 0  9996
2  4376 005.1874 295.2249 0006520 338.9064 021.2742 01.00393608016449
0 INTELSAT 3-F8
1 04478U 70055A   18008.20800419 -.00000007  00000-0  00000+0 0  9998
2 04478   1.8431 296.8956 0339258 187.8017 253.9448  1.02263375 91351
0 INTELSAT 4-F2
1 04881U 71006A   18008.30894880 -.00000275  00000-0  00000+0 0  9996
2 04881  11.6050 314.4262 0016974 356.6909  50.6490  0.98839473 91176
0 INTELSAT 4-F3
1  5709U 71116A   18006.68865399 -.00000320 +00000-0 +00000-0 0  9992
2  5709 013.0487 324.2289 0012912 010.8481 167.0346 00.99627346088158
0 INTELSAT 4-F4
1 05775U 72003A   18008.07750772  .00000012  00000-0  00000+0 0  9990
2 05775  13.2012 326.6003 0004837 341.6982 204.1017  0.99833855106619
0 INTELSAT 4-F5
1  6052U 72041A   18007.16438603 -.00000199 +00000-0 +00000-0 0  9994
2  6052 012.5280 321.6372 0003704 283.0656 076.9385 01.00135890015798
0 INTELSAT 4-F7
1  6796U 73058A   18007.63514396 -.00000257 +00000-0 +00000-0 0  9999
2  6796 013.6031 328.1614 0000419 023.9092 149.0798 00.99149102105085
0 INTELSAT 4-F8
1 07544U 74093A   18007.53647404  .00000087  00000-0  00000+0 0  9996
2 07544  13.7843 333.8216 0002303 339.4779 206.2297  0.99784673 94491
0 INTELSAT 4-F1
1 07815U 75042A   18007.39286068 -.00000040  00000-0  00000+0 0  9991
2 07815  13.9915 334.7969 0009924 211.7657 148.1983  0.99257088 91423
0 INTELSAT 4A-F1
1 08330U 75091A   18007.64429512 -.00000045  00000-0  00000+0 0  9994
2 08330  13.6959 333.6099 0003282 239.1066 305.5224  0.99938870 90647
0 INTELSAT 4A-F2
1  8620U 76010A   18007.64348355 -.00000104 +00000-0 +00000-0 0  9990
2  8620 013.7707 333.2716 0007049 260.2101 283.0765 00.99693713589886
0 INTELSAT 4A-F4
1 10024U 77041A   18007.81715969 -.00000238 +00000-0 +00000-0 0  9992
2 10024 014.2118 338.8263 0011062 210.0092 150.8835 00.99442352016334
0 INTELSAT 4A-F3
1 10557U 78002A   18005.25879271 -.00000291 +00000-0 +00000-0 0  9993
2 10557 014.1375 340.2544 0005969 269.5444 272.7733 00.99915388017928
0 INTELSAT 4A-F6
1 10778U 78035A   18006.79802925 -.00000372 +00000-0 +00000-0 0  9996
2 10778 013.9778 339.5653 0009233 261.5980 277.3505 01.00338021091245
0 INTELSAT 502
1 12089U 80098A   18008.28649395 -.00000224  00000-0  00000+0 0  9996
2 12089  14.9912 352.3678 0016317 266.9565 306.6808  0.98892293103239
0 INTELSAT 501
1 12474U 81050A   18007.15518773 -.00000247  00000-0  00000+0 0  9998
2 12474  14.9466 350.2705 0008084 260.1940 258.5735  0.98855283107274
0 INTELSAT 503
1 12994U 81119A   18007.33751080 -.00000253  00000-0  00000+0 0  9998
2 12994  14.8950 352.8880 0019992 181.8925  36.4297  0.99471732 96088
0 INTELSAT 504
1 13083U 82017A   18007.48718809  .00000045  00000-0  00000+0 0  9992
2 13083  14.9659 353.1937 0021935 187.9848 336.0577  0.99224263111200
