0 IRIDIUM 7
0 IRIDIUM 40
1 25041U 97069C   18008.26912439  .00030774 -92211-6  20573-3 0  9999
2 25041  86.3798 275.8084 0199587 208.2875 150.7437 15.52568431 58527
0 IRIDIUM 39
1 25042U 97069D   18008.30820369  .00000134  00000-0  31673-4 0  9994
2 25042  86.3936 291.6807 0018903 357.4082   2.7019 14.46211099 56369
0 IRIDIUM 38
1 25043U 97069E   18008.35712499  .00000125  00000-0  36043-4 0  9990
2 25043  86.3977 293.1072 0001955  43.6086 316.5265 14.36070585 56173
0 IRIDIUM 42
1 25077U 97077A   18008.33581211  .00000063  00000-0  15505-4 0  9991
2 25077  86.3983 296.1103 0002029  73.5170 286.6248 14.34520707 51609
0 IRIDIUM 44
1 25078U 97077B   18008.33136387  .00000039  00000-0  62146-5 0  9999
2 25078  86.3977 285.1687 0001624  28.5861 331.5426 14.38163619 53110
0 IRIDIUM 45
1 25104U 97082A   18008.53015327 -.00000062  00000-0 -29192-4 0  9998
2 25104  86.3963 201.3803 0002025  61.5595 298.5805 14.34214669 49804
0 IRIDIUM 24
1 25105U 97082B   18008.46888033  .00000087  00000-0  21372-4 0  9990
2 25105  86.3933 148.8069 0012638  37.6767 322.5314 14.39897202 52393
0 IRIDIUM 47
1 25106U 97082C   18008.48870345 -.00000046  00000-0 -23439-4 0  9993
2 25106  86.3971 169.5030 0002099  88.6624 271.4812 14.34214030 49794
0 IRIDIUM 49
1 25108U 97082E   18008.51340495 -.00000043  00000-0 -22262-4 0  9997
2 25108  86.3973 169.6005 0002091  88.5768 333.6083 14.34214443 49802
0 IRIDIUM 52
1 25169U 98010A   18008.25159389  .00000144  00000-0  44345-4 0  9993
2 25169  86.3969 264.6450 0001934  85.8647 274.2770 14.34218217 41173
0 IRIDIUM 56
1 25170U 98010B   18008.24526548  .00000192  00000-0  61418-4 0  9992
2 25170  86.3982 264.7667 0002047  79.4362 280.7065 14.34217112 41150
0 IRIDIUM 54
1 25171U 98010C   18008.20719755  .00000147  00000-0  45533-4 0  9993
2 25171  86.3969 264.6855 0001945  86.4082 273.7336 14.34217781 41310
0 IRIDIUM 50
1 25172U 98010D   18008.16914505  .00000147  00000-0  45443-4 0  9999
2 25172  86.3968 264.6566 0002006  87.9948 272.1477 14.34216276 41143
0 IRIDIUM 53
1 25173U 98010E   18008.25793826  .00000145  00000-0  44606-4 0  9999
2 25173  86.3969 264.6267 0001937  85.9649 274.1768 14.34217777 41165
0 IRIDIUM 51
1 25262U 98018A   18008.55898104  .00000774  00000-0  54217-4 0  9991
2 25262  86.3992 231.0972 0207660 327.1767  31.6695 14.87739780 40888
0 IRIDIUM 61
1 25263U 98018B   18008.53494509  .00000086  00000-0  21553-4 0  9994
2 25263  86.4231 232.9949 0002079  93.5748 266.5688 14.38608570 36301
0 IRIDIUM 55
1 25272U 98019A   18008.54458205 -.00000041  00000-0 -20041-4 0  9993
2 25272  86.4221 201.1631 0002377  86.2038 273.9432 14.38611857 35555
0 IRIDIUM 57
1 25273U 98019B   18008.54517746  .00000064  00000-0  15836-4 0  9999
2 25273  86.3967 201.4815 0002110  93.6748 266.4689 14.34297928 35505
0 IRIDIUM 58
1 25274U 98019C   18008.48199614 -.00000064  00000-0 -27374-4 0  9995
2 25274  86.4220 201.6986 0002294  87.2195 272.9266 14.38590802 35546
0 IRIDIUM 59
1 25275U 98019D   18008.50475620 -.00000057  00000-0 -27547-4 0  9997
2 25275  86.3965 201.5392 0002009  90.3381 269.8045 14.34215900 35491
0 IRIDIUM 60
1 25276U 98019E   18008.51114901  .00000003  00000-0 -58276-5 0  9995
2 25276  86.3962 201.1488 0001955  87.0601 273.0818 14.34211173 35491
0 IRIDIUM 62
1 25285U 98021A   18008.40279848  .00000135  00000-0  41041-4 0  9994
2 25285  86.3981 138.1777 0002190  94.6016 265.5430 14.34218154 34433
0 IRIDIUM 63
1 25286U 98021B   18008.34416972  .00000093  00000-0  25749-4 0  9999
2 25286  86.4010 138.6194 0002200  96.8222 292.8544 14.34704197 34460
0 IRIDIUM 64
1 25287U 98021C   18008.41548904  .00000133  00000-0  40519-4 0  9996
